# Easting [m] 	 Northing [m] 	 Period [s] 	 Phase velocity [m/s] 	 Differenz [m/s] 	 Anzahl Iterationen
-125	40	0.1	500.076	8.19787e-05	17
-125	40	5	927.589	2.16005e-12	7
-125	40	10	1996.68	9.09495e-13	6
-125	40	20	3603.32	4.35966e-09	6
-125	40	40	3801.68	2.27756e-08	5
-125	41	0.1	663.156	5.58459e-05	15
-125	41	5	1933.93	9.09495e-13	7
-125	41	10	2957.47	1.81899e-12	7
-125	41	20	3625.59	3.63798e-12	7
-125	41	40	3794.1	7.61338e-08	5
-125	43	0.1	964.539	4.80277e-05	9
-125	43	5	2649.94	3.77895e-09	7
-125	43	10	3136.53	7.16868e-05	3
-125	43	20	3705.68	2.84356e-07	7
-125	43	40	3800.34	1.81899e-12	9
-125	44	0.1	1853.15	7.60535e-05	24
-125	44	5	2788.67	1.36424e-12	7
-125	44	10	3157.92	8.3079e-05	7
-125	44	20	3705.47	5.23314e-08	7
-125	44	40	3808.29	5.68434e-11	6
-125	45	0.1	2009.62	8.39339e-05	24
-125	45	5	2828.74	1.36424e-12	7
-125	45	10	3267.11	3.23527e-07	7
-125	45	20	3722.73	3.86535e-11	6
-125	45	40	3842.2	4.82846e-07	9
-125	46	0.1	1180.78	6.06675e-05	22
-125	46	5	2681.41	1.36424e-12	5
-125	46	10	3268.27	1.36424e-12	7
-125	46	20	3739.9	1.81899e-12	9
-125	46	40	3845.66	6.36646e-12	10
-125	47	0.1	833.919	8.4431e-05	15
-125	47	5	2655.89	7.89851e-09	5
-125	47	10	3117.76	5.09878e-05	6
-125	47	20	3742.19	1.14288e-05	5
-125	47	40	3841.91	7.66249e-10	7
-125	48	0.1	1344.44	8.33638e-05	22
-125	48	5	2799.87	2.0123e-05	3
-125	48	10	3035.63	1.1122e-07	7
-125	48	20	3664.65	5.4024e-10	7
-125	48	40	3849.56	9.47715e-05	8
-125	49	0.1	2354.36	5.52433e-05	21
-125	49	5	2995.78	2.50111e-11	6
-125	49	10	3258.91	1.36424e-12	12
-125	49	20	3645.29	2.68309e-07	7
-125	49	40	3866.62	1.00044e-11	10
-124	39	0.1	483.206	7.11183e-05	16
-124	39	5	1167.24	3.16665e-07	5
-124	39	10	2993.65	2.34841e-06	6
-124	39	20	3700.52	3.77207e-05	5
-124	39	40	3844.35	5.37234e-07	4
-124	40	0.1	1120.28	9.5109e-05	21
-124	40	5	2225.38	8.07177e-10	7
-124	40	10	3040.93	2.99295e-05	6
-124	40	20	3618.51	3.07841e-05	5
-124	40	40	3827.06	1.81899e-12	7
-124	41	0.1	1190.86	5.31073e-05	24
